Genus	species	M
Aepyceros	melampus	0.02
Ailuropoda	melanoleuca	0.02
Alces	alces	0.023
Alopex	lagopus	0.055
Apodemus	flavicollis	0.303
Callorhinus	ursinus	0.01
Canis	lupus	0.046
Capreolus	capreolus	0.028
Cervus	elaphus	0.019
Clethrionomys	glareolus	0.274
Damaliscus	lunatus	0.056
Equus	burchellii	0.01
Erinaceus	europaeus	0.033
Halichoerus	grypus	0.012
Hemitragus	jemlahicus	0.019
Hippopotamus	amphibius	0.005
Kobus	ellipsiprymnus	0.015
Kobus	kob	0.032
Lepus	europaeus	0.058
Loxodonta	africana	0.005
Lynx	rufus	0.052
Macaca	sinica	0.005
Marmota	flaviventris	0.033
Mephitis	mephitis	0.061
Mirounga	leonina	0.021
Moschus	berezovskii	0.014
Mustela	putorius	0.029
Myocastor	coypus	0.079
Ochotona	princeps	0.047
Odocoileus	hemionus	0.025
Oryctolagus	cuniculus	0.283
Ovis	dalli	0.015
Pan	troglodytes	0.006
Peromyscus	maniculatus	0.316
Peromyscus	leucopus	0.44
Phacochoerus	aethiopicus	0.028
Phoca	hispida	0.008
Rangifer	tarandus	0.013
Rupicapra	rupicapra	0.029
Sciurus	carolinensis	0.049
Spermophilus	lateralis	0.05
Spermophilus	dauricus	0.052
Spermophilus	beldingi	0.054
Spermophilus	armatus	0.055
Sus	scrofa	0.046
Sylvilagus	floridanus	0.128
Syncerus	caffer	0.016
Tachyoryctes	splendens	0.045
Talpa	europaea	0.061
Tamias	striatus	0.11
Tamiasciurus	hudsonicus	0.057
Taxidea	taxus	0.053
Urocyon	cinereoargenteus	0.029
Ursus	americanus	0.015
Vulpes	vulpes	0.046
Zapus	princeps	0.052
