Species	family	RI	plant_dry_mass	mass_adjustment	W0	Source	Reference
Dichrostachys cinerea	Urticaceae		117	1.305	0.000040325	Moles2004	"Witkowski, E. T. F. and R. D. Garner 2000 Spatial distribution of soil seed banks of three African savanna woody species at two contrasting sites. Plant Ecology 149 1 91-106"
Diplotaxis catholica	Brassicaceae		0.0004526	1.305	0.00000017	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Dipsacus fullonum		0.004760616	0.0169	1.305	0.000002408	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Drosera intermedia	Droseraceae		0.0000322	1.000	0.00000002	Moles2004	"Thum, M. 1989 The significance of carnivory for the fitness of Drosera in its natural habitat 2. the amount of captured prey and its effect on Drosera intermedia and Drosera rotundifolia. Oecologia 81 3 401-411"
Echium plantagineum	Boraginaceae		0.0010309	1.305	0.00000274	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Echium vulgare	Boraginaceae	0.082005821	0.147179967	1.000	0.0000026	Moles2004	"Klinkhamer P.G.L., De Jong T.J., & Nell H.W. (1994) Limiting factors for seed production and phenotypic gender in the gynodioecious species Echium vulgare (Boraginaceae). Oikos. 71, 469-78."
Elaeis guineensis			597.959184	1.305	0.001799659	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Ephedra nevadensis	Ephedraceae		0.1191	1.150	0.000026402	Moles2004	"El-Ghonemy, A.A., Wallace, A. & Romney, E.M. (1980) Frequency distribution of numbers of perennial shrubs in the northern Mojave Desert Nevada USA. Great Basin Naturalist Memoirs 4, 34-38."
Eriastrum diffusum	Polemoniaceae		0.0002	1.000	0.000000494	Moles2004	"Whitford, W.G. & Gutierrez, J.R. (1989) Effects of water and nitrogen supplementation on phenology plant size tissue nitrogen and seed yield of chihuahuan desert annual plants. Southwestern Naturalist 34, 546-549."
Erica multiflora	Ericaceae		0.095	1.305	0.00000005	Moles2004	"Vila, M. and J. Terradas 1998 Neighbour effects on Erica multiflora (Ericaceae) reproductive performance after clipping. Acta Oecologica 19 2 139-145"
Erodium ciconium		0.002209104	0.00414	1.305	0.000005336	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Erodium cicutarium	Geraniaceae		0.00842	1.305	0.00000122	Moles2004	"Aronson, J. A., J. Kigel and A. Shmida 1990 Comparative plant sizes and reproductive strategies in desert and mediterranean populations of ephemeral plants. Israel Journal of Botany Basic & Applied Plant Sciences 39 4-6 413-430"
Erodium cicutarium	Geraniaceae		0.0004817	1.305	0.00000122	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Erophila verna	Brassicaceae	0.00002115	0.000021	1.305	0.000000025	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Erucaria hispanica	Brassicaceae		0.1666	1.305	0.0000003	Moles2004	"Aronson, J. A., J. Kigel and A. Shmida 1990 Comparative plant sizes and reproductive strategies in desert and mediterranean populations of ephemeral plants. Israel Journal of Botany Basic & Applied Plant Sciences 39 4-6 413-430"
Erythronium japonicum	Liliaceae	5.74E-05	0.00115	1.000	0.00000262	Moles2004	"Kawano, S., A. Hiratsuka, and K. Hayashi. 1982. Life history characteristics and survivorship of erythronium-japonicum the productive and reproductive biology of flowering plants 5. Oikos 38:129-149."
Eucalyptus diversicolor			507.272727	1.305	2.56E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Eucalyptus grandis			498.734177	1.305	8.18E-07	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Eucalyptus regnans			1231.454545	1.000	4.34E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Euphorbia exigua	Euphorbiaceae		0.0000096	1.305	0.00000009	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Euphrasia stricta	Scrophulariaceae	0.000016218	0.0003	1.305	0.000000159	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Evax pygmaea	Asteraceae		0.0000583	1.150	0.00000008	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Fagus crenata			49.36007641	1.000	0.000139514	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Fagus sylvatica			40.9470752	1.305	0.000212773	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Festuca ovina	Poaceae	0.000111804	0.00373	1.305	0.000000132	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Festuca rubra	Poaceae	0.00036735	0.00311	1.305	0.00000079	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Filipendula vulgaris	Rosaceae	0.000218078	0.00123	1.305	0.000000518	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Fragaria vesca	Rosaceae	0.000117986	0.00061	1.305	0.000000346	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Gagea lutea	Liliaceae		0.000505	1.000	0.00000123	Moles2004	"Nishikawa, Y. (1998) The function of multiple flowers of a spring ephemeral, Gagea lutea (Liliaceae), with reference to blooming order. Canadian Journal of Botany 76: 1404-1411"
Galium aparine	Rubiaceae		0.0000651	1.150	0.00000725	Moles2004	"Puntieri J.G., & Hall R.L. (1996) Density-dependent mortality, growth and size inequality in roadside populations of the annual herb Galium aparine L. Ecological Research. 11, 121-37."
Galium parisiense	Rubiaceae		0.0000327	1.306	0.00000012	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Gaylussacia baccata	Vacciniaceae		0.0123	1.305	1.60E-06	Moles2004	"Whittaker, R., and G. Woodwell. 1968. Dimension and production relations of trees and shrubs in the Brookhaven Forest, New York. Ecology 56:1-25."
Gentianella campestris	Gentianaceae	0.000082764	0.00026	1.305	0.000000171	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Geranium maculatum	Geraniaceae	0.00006444	0.0007895	1.305	0.0000072	Moles2004	"Agren J., & Willson M.F. (1994) Cost of seed production in the perennial herbs Geranium maculatum and G. sylvaticum: An experimental field study. Oikos. 70, 35-42."
Geranium rotundifolium		0.000353892	0.00041	1.305	0.000001532	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Geranium sylvaticum	Geraniaceae	0.0001019	0.000802	1.305	0.000005095	Moles2004	"Agren J., & Willson M.F. (1994) Cost of seed production in the perennial herbs Geranium maculatum and G. sylvaticum: An experimental field study. Oikos. 70, 35-42."
Geum rivale	Rosaceae	0.00030686	0.0013	1.305	0.00000134	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Gnaphalium sylvaticum	Asteraceae	0.000047397	0.00049	1.305	0.000000037	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Grayia spinosa	Amaranthaceae		0.0743	1.150	9.62E-07	Moles2004	"El-Ghonemy, A.A., Wallace, A. & Romney, E.M. (1980) Frequency distribution of numbers of perennial shrubs in the northern Mojave Desert Nevada USA. Great Basin Naturalist Memoirs 4, 34-38."
Gutierrezia sarothrae	Asteraceae		0.0021	1.305	0.00000021	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
Gyrostemon ramulosus	Gyrostemonaceae	0.00819525	1.0055	1.150	0.00000049	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Helianthemum nummularium	Cistaceae	0.000230364	0.00041	1.305	0.000000948	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Hieracium pilosella	Asteraceae	0.000007875	0.00029	1.305	0.000000105	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Hippocrepis unisiliquosa	Celastraceae		0.0346	1.305	0.00000513	Moles2004	"Aronson, J. A., J. Kigel and A. Shmida 1990 Comparative plant sizes and reproductive strategies in desert and mediterranean populations of ephemeral plants. Israel Journal of Botany Basic & Applied Plant Sciences 39 4-6 413-430"
Hypericum perforatum	Clusiaceae	0.000112332	0.00208	1.305	0.000000037	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Hypochaeris glabra	Asteraceae		0.0001506	1.305	0.00000047	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Ilex aquifolium			26.4516129	1.000	4.11E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Impatiens capnesis	Balsiminaceae	0.004466711	0.0684	1.305	0.0000109	Moles2004	"Simpson, R. L., M. A. Leck, and V. T. Parker. 1985. The comparative ecology of impatiens-capensis balsaminaceae in central new-jersey usa. Bulletin of the Torrey Botanical Club 112:295-311."
Inula conyza		0.001146832	0.00287	1.305	0.000000229	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Ipomopsis aggregata	Polemoniaceae		0.011020408	1.305	0.00000131	Moles2004	"De Jong, T. J., N. M. Waser, M. V. Price and R. M. Ring 1992 Plant size geitonogamy and seed set in Ipomopsis aggregata. Oecologia 89 3 310-315"
Isotoma hypocrateriformis	Lobeliaceae	0.00001656	0.00022	1.150	0.00000003	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Knautia arvensis	Dipsacaceae	0.000474048	0.00384	1.305	0.000002469	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Larix leptolepis			49.91935484	1.000	3.91E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Larrea tridentata	Zygophyllaceae		0.4379	1.150	0.000007884	Moles2004	"El-Ghonemy, A.A., Wallace, A. & Romney, E.M. (1980) Frequency distribution of numbers of perennial shrubs in the northern Mojave Desert Nevada USA. Great Basin Naturalist Memoirs 4, 34-38."
Lathyrus linifolius	Fabaceae	0.00012	0.00031	1.305	0.000015	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Lathyrus pratensis	Fabaceae	0.000384522	0.00154	1.305	0.000010119	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Leontodon longirostis	Asteraceae		0.0004975	1.305	0.00000027	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Lepidium densiflorum	Brassicaceae		0.0004	1.305	0.000000375	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
Lepidium lasiocarpum	Brassicaceae	0.0004284	0.0011	1.000	0.0000004	Moles2004	"Whitford, W.G. & Gutierrez, J.R. (1989) Effects of water and nitrogen supplementation on phenology plant size tissue nitrogen and seed yield of chihuahuan desert annual plants. Southwestern Naturalist 34, 546-549."
Leucanthemum vulgare	Asteraceae	0.00003036	0.00029	1.305	0.00000044	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Linum catharticum	Linaceae	0.000024888	0.00005	1.305	0.000000136	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Logfia gallica	Asteraceae		0.0000128	1.305	0.00000002	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Lolium multiflorum		8.45E-05	0.00063	1.305	0.000001984	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Lolium rigidum	Poaceae		0.0012376	1.305	0.00000128	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Lotus corniculatus	Fabaceae	0.000845479	0.0058	1.305	0.000001319	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Lotus subbiflorus	Fabaceae		0.0001573	1.305	0.00000028	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Ludwigia leptocarpa	Onagraceae		0.00822	1.305	0.0000001	Moles2004	"Dolan, R. W. and R. R. Sharitz 1984 Population dynamics of Ludwigia leptocarpa (Onagraceae) and some factors affecting size hierarchies in a natural population. Journal of Ecology 72 3 1031-1042"
Luzula campestris	Juncaceae	0.000033711	0.00004	1.305	0.000000661	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Lychnis viscaria	Caryophyllaceae	0.00010505	0.00086	1.305	0.000000055	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Machaeranthera tanacetifolia	Asteraceae		0.0004	1.305	0.0000012	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
Medicago lupulina		0.000136448	0.00049	1.305	0.000000208	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Medicago polymorpha	Fabaceae		0.0006255	1.305	0.00000384	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Melampyrum roseum var japonicum	Scrophulariaceae		0.0046151	1.150	0.0000054	Moles2004	"Hiei, K. & Ohara, M. (2002) Variation in fruit- and seed set among and within inflorescences of Melampyrum roseum var. japonicum (Scrophulariaceae). Plant species biology 17, 13-23."
Metasequoia glyptostroboides			8.41423948	1.305	2.12E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Molineriella minuta	Poaceae		0.0000737	1.150	0.00000007	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Myosotis ramossisima	Boraginaceae	0.000142883	0.00012	1.305	0.000000377	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Nothofagus truncata			650.4132231	1.000	7.68E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Oenothera biennis			0.022001	1.000	3.79E-07	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Orlaya grandiflora		0.000576575	0.00063	1.305	0.000016616	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Ornithopus compressus	Fabaceae		0.0002067	1.305	0.0000019	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Picea abies			125.704698	1.000	7.05E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Picea sitchensis			86.38297872	1.000	2.14E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Picris hieracioides		0.00051805	0.00471	1.305	0.00000065	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Pimpinella saxifraga	Apiaceae	0.000287564	0.00094	1.305	0.000001073	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Pinguicula vulgaris	Lentibulariaceae		0.000095	1.000	0.000000024	Moles2004	"Worley, A. C. and L. D. Harder 1996 Size-dependent resource allocation and costs of reproduction in Pinguicula vulgaris (Lentibulariaceae). Journal of Ecology 84 2 195-206"
Pinus densiflora			14.1363636	1.305	9.53E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Pinus elliottii			25.9545455	1.305	3.20E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Pinus pinaster			119.34847	1.305	5.04E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Pinus radiata			75.4487179	1.305	3.00E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Pinus rigida	Pinaceae		85.5	1.305	1.68E-05	Moles2004	"Whittaker, R., and G. Woodwell. 1968. Dimension and production relations of trees and shrubs in the Brookhaven Forest, New York. Ecology 56:1-25."
Plantago asiatica	Plantaginaceae		0.003	1.150	0.00000073	Moles2004	"Kobayashi, T., K. Okamoto and Y. Hori 2001 Variations in size structure, growth and reproduction in Japanese plantain (Plantago asiatica L.) between exposed and shaded populations. Plant Species Biology 16 1 13-28"
Plantago coronopus	Plantaginaceae		0.0002026	1.305	0.00000012	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Plantago lagopus	Plantaginaceae		0.0003697	1.305	0.00000048	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Plantago lanceolata	Plantaginaceae	0.00112203	0.00146	1.305	0.000001918	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Plantago media	Plantaginaceae	0.000079806	0.00174	1.305	0.000000283	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Poa annua	Poaceae		0.0000609	1.305	0.00000022	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Poa pratensis	Poaceae	0.000052	0.00036	1.305	0.00000025	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Podotheca gnaphalioides	Asteraceae	0.00036279	0.00088	1.150	0.00000087	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Polycarpon tetraphyllum	Caryophyllaceae		0.0000157	1.306	0.00000002	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Polygala vulgaris	Polygonaceae	0.00036848	0.00038	1.305	0.00000196	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Populus tremuloides			61.8055556	1.305	1.15E-07	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Potentilla argentea	Rosaceae	0.000012118	0.00042	1.305	0.000000073	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Potentilla erecta	Rosaceae	0.000094053	0.00138	1.305	0.000000321	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Primula veris	Primulaceae	0.000241732	0.0014	1.305	0.000000892	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Prosopis glandulosa	Fabaceae		760.5	1.305	0.000069665	Moles2004	"Sharifi, M. R., E. T. Nilsen and P. W. Rundel (1982) Biomass and net primary production of Prosopis glandulosa (Fabaceae) in the Sonoran desert of California, USA. American Journal of Botany 69: 760-767"
Prunella vulgaris	Lamiaceae	0.00017442	0.00044	1.305	0.000000612	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Prunella vulgaris	Lamiaceae		0.001015	1.305	0.000000893	Moles2004	"Winn, A. A. and P. A. Werner (1987) Regulation of seed yield within and among populations of Prunella vulgaris. Ecology 68: 1224-1233"
Pseudotsuga menziesii			128.666667	1.305	1.87E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Quercus alba	Fagaceae		36.6	1.305	0.002996819	Moles2004	"Whittaker, R., and G. Woodwell. 1968. Dimension and production relations of trees and shrubs in the Brookhaven Forest, New York. Ecology 56:1-25."
Quercus coccinea	Fagaceae		70.5	1.305	0.001931393	Moles2004	"Whittaker, R., and G. Woodwell. 1968. Dimension and production relations of trees and shrubs in the Brookhaven Forest, New York. Ecology 56:1-25."
Quercus ilicifolia	Fagaceae		0.1407	1.305	0.000648495	Moles2004	"Whittaker, R., and G. Woodwell. 1968. Dimension and production relations of trees and shrubs in the Brookhaven Forest, New York. Ecology 56:1-25."
Ranunculus acris	Ranunculaceae		0.000190546	1.305	1.56E-06	Moles2004	"Hemborg, A.M. & Karlsson, P.S. (1998) Altitudinal variation in size effects on plant reproductive effort and somatic costs of reproduction. Ecoscience 5, 517-525."
Ranunculus acris	Ranunculaceae	0.000566358	0.00143	1.305	0.000001378	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Ranunculus bulbosus	Ranunculaceae	0.0003844	0.00042	1.305	0.0000031	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
